Name,Created,Industry,Market size (ZAR m),Problem,Solution
Pet tag,"September 23, 2024 7:02 PM",Pets,250,Using airtags/chipping = expensive,QR code pet ID tags
Housey,"September 23, 2024 7:07 PM",Property,8000,Lessee renting history is not persisted between rentals,Housey is the LinkedIn for lessees & agents
Daily Dose,"September 23, 2024 7:38 PM",Healthcare,250000,It’s hard to remember what made you feel better the last time you were sick,Medicine tracking app
Macro Dashboard,"September 23, 2024 7:39 PM",Finance,,Visualising relevant macro indicators in one place is unavailable,Visual macro dashboard
Blue-collar services directory,"September 23, 2024 7:41 PM",Facilities management,50000,"Finding trustworthy, quality,  affordable workers is hard",Online marketplace for blue collar labour
Financial education,"September 24, 2024 6:44 AM",Education,50000,"Quality, affordable, widely distributed financial education is unavailable",The Duolingo of financial education
Benefit optimisation,"September 24, 2024 6:47 AM",Healthcare,250000,Understanding the complexities of  benefit programs is difficult,YouTube videos on how to maximise your benefits
Supplements,"September 24, 2024 6:47 AM",Healthcare,5000,You need to take too many supplements to get your desired nutrition,"Athletic Greens + Revive + creatine "
Healthcare repository,"September 24, 2024 6:48 AM",Healthcare,500,Medical records are stored in disparate sources = hard to have clear view of medical history,Repository for personal medical records
Cape Town guide,"September 24, 2024 6:49 AM",Tourism,315000,"Current travel guides are limited online, and existing ones are outdated",Curate bespoke travel guides using an LLM
Uni course guide,"September 24, 2024 6:50 AM",Education,50000,"Accessing uni course info is hard. Students don’t know what they may enjoy, or the jobs available",Curating career roadmaps → customised uni courses → links to the job market → expected earnings
Reminder app,"September 24, 2024 6:55 AM",Productivity,47000,Different things that I want to be reminded of are saved in different places,App that emails reminders at regular intervals
Medicine starter kits,"September 30, 2024 7:46 PM",Healthcare,500,You never have the meds you need when you need them most,Opt in refill sub for an 80/20 medicine kit
Renting decorations,"September 30, 2024 7:52 PM",Consumer goods,,"Christmas is once per year, storage is a hassle, decorations are expensive + go out of style",Decoration rental service
Political data tracking,"September 30, 2024 7:53 PM",Politics,,Politicians make a lot of promises. How do we know if they keep them?,Data tracking site of promises vs outcomes
Redesign toothpaste,"September 30, 2024 7:53 PM",Dentalcare,,Toothpaste has stayed the same for decades,Redesigned packaging? Transparent ingredients?
Local Pocari distributor,"October 2, 2024 6:48 AM",FMCG,7000,Not enough healthy sports drinks,Pocari is a medical grade hydration drink